"flux","USFLUX","MEANGAM","MEANGBT","MEANGBZ","MEANGBH","MEANJZD","TOTUSJZ","MEANALP","MEANJZH","TOTUSJH","ABSNJZH","SAVNCPP","MEANPOT","TOTPOT","MEANSHR","SHRGT45","NPIX","SIZE","AREA","NACR","SIZE_ACR","AREA_ACR","lagged_flux"
1.0284568361385e-06,1.51472262464924e+22,29.259829004202,100.01165810358,101.456717843272,38.0814170936564,0.188228207439608,14315238995431.1,0.0110315621245376,0.00322968649428817,662.236991944534,46.8300830966514,2715914751734.11,2824.47574082114,8.65770941657558e+22,24.2799779593239,8.1914825498953,73493.0274570917,6559.94401999991,5539.56764741374,4936.20474610162,440.60271873288,367.125837973635,1.40370627832453e-06
5.49376011349523e-07,6.26713453133282e+21,29.9137351312058,128.478397961792,129.289720393128,49.8938640963425,0.381903312052551,7551732023972.6,0.021886111308638,0.00593328511023674,337.089992330737,50.846854566327,2861857350275.17,2040.77412635579,2.65610369534489e+22,24.582825899712,5.15109879801595,69025.4370927559,6157.02027645974,3785.38037968812,4712.92636383347,420.389717997385,257.527277818276,1.0284568361385e-06
2.67107822082835e-07,3.98287738752157e+21,29.8891337765177,129.868898244195,130.474397007252,51.4795415005122,0.433422514162565,5888955966717.4,0.0175512713495354,0.00477440694380238,270.035086908011,34.3942890297217,1975164352389.19,1902.57260605021,1.58999507649792e+22,23.6712673906875,5.46475742947334,70107.278778868,6256.51144528788,3751.53503389048,4830.31185843392,431.068690610899,257.949414201343,5.49376011349523e-07
3.21070473319196e-07,2.7490887243333e+21,31.4961468546017,127.682780133014,128.212242809631,52.7059034680837,0.494471007592893,3947053919851.18,0.00631656601100388,0.00124056638699228,179.909075407399,12.8065600124206,1479835392335.78,2089.25723538373,1.17784192299595e+22,24.7002242788547,6.61341781879122,49056.4392895129,4369.66301038457,2546.78084006171,3499.03336782096,311.673596942657,180.601417042812,2.67107822082835e-07
1.61367921691635e-07,3.67711062115777e+21,31.1114821333453,125.364683481433,125.136443168583,50.126165923757,0.349323986398657,4199606969997.71,0.0103879768725483,0.0026666236798796,217.369377392243,14.8093354575279,1154173918243.99,2742.63474322972,2.10467210750392e+22,24.8643443088064,7.25607835262778,38464.4061213426,3424.45621833554,2049.12297706549,2737.88623017184,243.754068695162,153.355313986755,3.21070473319196e-07
1.81618119654559e-07,4.09105300356524e+21,32.685989776281,122.412525505483,122.254063512531,50.8339033420924,0.338162547352601,4835928677854.84,0.0112988725629766,0.00362777280693823,216.70074735111,22.77377057806,1895139039712.84,2990.41809125929,2.1119178878065e+22,26.1844398158938,9.8603653417698,47695.5262675061,4242.18262781476,2790.87244163522,3147.7253218586,279.999863392317,184.127599593271,1.61367921691635e-07
8.06698551514273e-07,4.26169534362306e+21,32.3570271564799,120.072062915331,119.910365120375,50.3325728240356,0.373222657631537,4833500482455.73,0.00681417977065646,0.00200154816052057,216.370516792094,17.1099702657176,1304935964812.08,3143.11507656995,1.9619950074429e+22,25.6572504776195,9.52937630090721,46580.6003481033,4142.14399253712,2737.7736549665,3067.51878463781,272.776751597302,180.758145071845,1.81618119654559e-07
5.6122144087567e-06,3.94478623976481e+21,34.9422318271103,124.411753512221,124.954495564135,55.8095030189026,0.346911080348876,3750330586500.31,0.00916900833480596,0.00318944645711265,174.949752098013,18.0000189372613,1065463691527.07,3541.7689119556,2.06759280777209e+22,27.6569103811574,13.9664874286663,21780.5138183199,1934.81830592249,1426.17513683105,1389.66884529605,123.450873310707,96.0998670194991,8.06698551514273e-07
1.18079651656444e-06,1.36630242279016e+22,41.6677489355638,123.212505140497,124.355736850774,61.9597111613172,0.262891199569704,11845523943850.5,0.0206762450981936,0.00631831591750552,672.800320266255,75.8756999966093,3044689591879.31,7386.51733863394,1.89813130041382e+23,33.7269284520666,26.8442356097891,22401.1696663205,1988.52406013474,2866.50220169148,2913.62866952626,258.639219430049,385.598970253812,5.6122144087567e-06
5.4784759413451e-06,1.95179368701499e+22,42.1728374203226,95.1294945396518,97.517328549085,46.5188381732895,0.12036341421217,17907335802124.5,0.0157349470738964,0.0067022577067956,987.856672862038,161.591894282335,8166865615970.89,7831.85578070878,2.62882118636883e+23,38.9058380969913,27.6207004544682,64788.3055448031,5743.42554891325,4960.82802632523,5805.90566832601,515.045058699972,476.525417343102,1.18079651656444e-06
1.41648979479214e-06,2.40229769333121e+22,44.1335355260802,99.9281078489489,102.241292627325,50.2852240496796,0.174696120283989,24003911467882.4,0.0136909559315482,0.00589872164194053,1115.40460482327,135.638259888242,6955591607908.6,8255.37194878271,2.5167002666032e+23,36.8989892835806,30.7078091003994,85807.5625214565,7605.70008318149,5370.45731377162,7518.50851835417,666.248170194762,499.439681729667,5.4784759413451e-06
8.13450526493398e-07,2.39067906057246e+22,35.9058907039955,97.7445523766839,98.3980131134438,42.9242579200357,0.140787491107241,28618643437494.4,0.0105511114468464,0.00372812678233652,1226.95447328742,163.064816879944,7898715132132.44,5153.9092921996,1.69992476038401e+23,35.0800617488823,17.8664504196723,114664.568162679,10157.2784785722,7522.10825719834,9459.48308739934,837.900433227534,610.229666962995,1.41648979479214e-06
1.11708072836336e-06,1.96240620141834e+22,39.8386302223001,109.647131179512,109.961096656412,51.8853620270044,0.333173713816949,24248677746907.6,0.0103007604405451,0.00343339338353033,1029.18343425198,147.266775473902,6321153440755.64,6629.49068020964,1.58217951616691e+23,32.5854082634585,21.9491815854355,156059.031466386,13811.799059338,8694.53017617507,13473.5725015201,1193.32652801426,746.375620219722,8.13450526493398e-07
1.56883538693364e-06,1.12997841931114e+22,39.3812074754309,113.014008146479,113.945084958821,52.3625057457084,0.428679598551457,17841502487789.5,0.0106258896787243,0.0028896340063972,760.25949101781,60.2484710527591,4832888240373.21,6588.46789350258,1.35147055286644e+23,32.2785091062301,21.5323467882207,157516.923024167,13932.2919886718,8064.76890636353,13878.6510691245,1227.53027994266,707.801496914239,1.11708072836336e-06
9.99702820081438e-07,8.98829814557159e+21,38.642500814464,114.248823172453,114.996937262254,52.9949654357013,0.373657788442375,14449254950982.7,0.0190027734393247,0.00508184247907673,670.291020365316,92.691261155261,6342160552783.8,5647.44973491857,1.23099802937928e+23,31.5006616745816,20.0180542595793,143885.1713797,12714.5064974462,7077.16737078638,13160.3761550037,1162.6891272897,631.183983396712,1.56883538693364e-06
